sampling_reason,논문ID,발행연도,논문명,저자명,주저자 소속기관,primary_source_basis,secondary_source_horizon,n_primary,n_secondary,primary_dist,secondary_dist,검수_상태,교정_primary,교정_secondary,비고
low_conf:few_refs+primary_unknown_with_secondary,ART000995881,2006,대승 大般涅槃經의 수행관.,이법산,동국대학교,unknown,korean,0,1,{},"{""korean"": 1}",,,,
low_conf:mixed_label,ART001320776,2009,상윳따 니까야 인연상응(Nidāna-Saṃyutta)의 연기 유형,김홍미,동국대학교,pali,mixed,5,12,"{""pali"": 4, ""chinese_canon"": 1}","{""korean"": 2, ""japanese"": 1, ""english"": 5, ""german"": 4}",,,,
low_conf:mixed_label,ART001371005,2009,초기 유가행파의 ‘여래장(tathāgatagarbha)’ 개념 해석,김성철,금강대학교,sanskrit,mixed,3,34,"{""sanskrit"": 3}","{""english"": 16, ""japanese"": 15, ""german"": 3}",,,,
low_conf:mixed_label,ART001476684,2010,바가바드기따(Bhagavadgītā)의 보편성 : 까르마요가(karma-yoga)를 중심으로,이거룡,선문대학교,mixed,english,3,19,"{""mixed"": 2, ""sanskrit"": 1}","{""korean"": 8, ""english"": 11}",,,,
low_conf:mixed_label,ART001476698,2010,‘keśa : 눈병 걸린 자에게 나타나는 머리카락’ 비유에 관한 고찰,김성옥,동국대학교,chinese_canon,mixed,5,8,"{""sanskrit"": 1, ""chinese_canon"": 4}","{""japanese"": 3, ""english"": 2, ""korean"": 3}",,,,
low_conf:mixed_label,ART001658520,2012,대상인식과 자기인식으로서 지각과 추리에 관한 다르마키르티의 논증,권서용,부산대학교,sanskrit,mixed,4,31,"{""sanskrit"": 4}","{""english"": 5, ""german"": 1, ""japanese"": 14, ""korean"": 11}",,,,
low_conf:mixed_label,ART001946204,2014,<삼무성론>에 나타난 진제의 삼성설 해석의 특징 (II) ＿유식문헌의 인용과 그 해석상의 차이를 중심으로＿,안성두,서울대학교,sanskrit,mixed,20,25,"{""sanskrit"": 15, ""chinese_canon"": 5}","{""english"": 9, ""french"": 1, ""japanese"": 9, ""korean"": 6}",,,,
low_conf:mixed_label,ART002065649,2015,"기억(smṛti)과 지식의 2상성(二相性, dvirūpatā)",박기열,한국불교연구원,sanskrit,mixed,8,17,"{""sanskrit"": 8}","{""german"": 5, ""japanese"": 5, ""korean"": 1, ""english"": 6}",,,,
low_conf:mixed_label,ART002104118,2016,보성론 I.154-155의 공성 해석과 관련된 몇 가지 문제들,안성두,서울대학교,sanskrit,mixed,13,30,"{""sanskrit"": 12, ""chinese_canon"": 1}","{""english"": 10, ""german"": 6, ""korean"": 9, ""japanese"": 5}",,,,
low_conf:mixed_label,ART002220274,2017,인식의 ‘등불 비유’에 관한 해석 논쟁__실재의 내속성과 변충의 동일성 비교를 중심으로,박기열,연세대학교,sanskrit,mixed,8,30,"{""sanskrit"": 8}","{""english"": 12, ""japanese"": 8, ""korean"": 10}",,,,
